Report List 											
											
Sl. NO	Dept.	Report types	Type of  Sub Report	Reports	Reports	Reports		Remarks	Report Path	ReMarks	
39	Accounts	Cash-Bank	Bankwise Receipt/Payment						Report ? Accounts ? Accounts Report ?Cash Bank ?Bankwise Receipt/Payment		
40	Accounts	Cash-Bank	Electronic Funds Transfer						Report ? Accounts ? Accounts Report ?Cash Bank ?Electronic Funds Transfer		
41	Accounts	Cash-Bank	Auto payment - Mail to Employee/Creditor						Report ? Accounts ? Accounts Report ?Cash Bank ?Auto payment - Mail to Employee/Creditor		
42	Accounts	Cash-Bank	Cheque DisHonoured Register						Report ? Accounts ? Accounts Report ?Cash Bank ?Cheque DisHonoured Register		
43	Accounts	Cash-Bank	TCS Provision 206C(1H)						Report ? Accounts ? Accounts Report ?Cash Bank ?TCS Provision 206C(1H)		
44	Accounts	Purchase	Purchase Register						Report ? Accounts ? Accounts Report ?Purchase ?Purchase Register		
45	Accounts	Purchase	Account by Party Purchase						Report ? Accounts ? Accounts Report ?Purchase ?Account by Party Purchase		
46	Accounts	Purchase	Gross/Net Purchase						Report ? Accounts ? Accounts Report ?Purchase ?Gross/Net Purchase		
47	Accounts	Purchase	Purchase Tax Forms						Report ? Accounts ? Accounts Report ?Purchase ?Purchase Tax Forms		
48	Accounts	Purchase	Sub-Contractor Billing Register						Report ? Accounts ? Accounts Report ?Purchase ?Sub-Contractor Billing Register		
49	Accounts	Purchase	Due Datewise LC Status						Report ? Accounts ? Accounts Report ?Purchase ?Due Datewise LC Status		
50	Accounts	Purchase	Purchase Register GL wise						Report ? Accounts ? Accounts Report ?Purchase ?Purchase Register GL wise		
51	Accounts	Purchase	Purchase Register with Vat % Bifurcation						Report ? Accounts ? Accounts Report ?Purchase ?Purchase Register with Vat % Bifurcation		
52	Accounts	Purchase	Item Wise NonGst Purchase						Report ? Accounts ? Accounts Report ?Purchase ?Item Wise NonGst Purchase		
53	Accounts	Purchase	Gst Input Tax Credit Details						Report ? Accounts ? Accounts Report ?Purchase ?Gst Input Tax Credit Details		
54	Accounts	Purchase	Gst Input Tax Credit Details - RCM						Report ? Accounts ? Accounts Report ?Purchase ?Gst Input Tax Credit Details - RCM		
55	Accounts	Purchase	Gst Only Non Acct Party						Report ? Accounts ? Accounts Report ?Purchase ?Gst Only Non Acct Party		
56	Accounts	Sales	Sales Register						Report ? Accounts ? Accounts Report ?Sales ?Sales Register		
57	Accounts	Sales	Account by Party Sale						Report ? Accounts ? Accounts Report ?Sales ?Account by Party Sale		
58	Accounts	Sales	Gross/Net Sale						Report ? Accounts ? Accounts Report ?Sales ?Gross/Net Sale		
59	Accounts	Sales	Sales Tax Forms						Report ? Accounts ? Accounts Report ?Sales ?Sales Tax Forms		
60	Accounts	Sales	Bill Discounting Statement	Outstanding Discounted bills					Report ? Accounts ? Accounts Report ?Sales ?Bill Discounting Statement ?Outstanding Discounted bills		
61	Accounts	Sales	Bill Discounting Statement	Reconcilation					Report ? Accounts ? Accounts Report ?Sales ?Bill Discounting Statement ?Reconcilation		
62	Accounts	Sales	Bank Guarantee Statement						Report ? Accounts ? Accounts Report ?Sales ?Bank Guarantee Statement		
63	Accounts	Sales	Sales Register GL wise						Report ? Accounts ? Accounts Report ?Sales ?Sales Register GL wise		
64	Accounts	Sales	Sales Register with Vat % Bifurcation						Report ? Accounts ? Accounts Report ?Sales ?Sales Register with Vat % Bifurcation		
65	Accounts	Sales	Cash Discount Report						Report ? Accounts ? Accounts Report ?Sales ?Cash Discount Report		
66	Accounts	Sales	Gst Reconciliation for Sale Return						Report ? Accounts ? Accounts Report ?Sales ?Gst Reconciliation for Sale Return		
67	Accounts	Sales	Kitty Account Details						Report ? Accounts ? Accounts Report ?Sales ?Kitty Account Details		
68	Accounts	Sales	Cash Discount with Bills						Report ? Accounts ? Accounts Report ?Sales ?Cash Discount with Bills		
69	Accounts	Party Statements	Outstanding & Ageing						Report ? Accounts ? Accounts Report ?Party Statements ?Outstanding & Ageing		
70	Accounts	Party Statements	Bill By Bill Record						Report ? Accounts ? Accounts Report ?Party Statements ?Bill By Bill Record		
71	Accounts	Party Statements	On-Account Statement						Report ? Accounts ? Accounts Report ?Party Statements ?On-Account Statement		
72	Accounts	Party Statements	Payment-Receipt Statement						Report ? Accounts ? Accounts Report ?Party Statements ?Payment-Receipt Statement		
73	Accounts	Party Statements	Purchase-Sales Statement						Report ? Accounts ? Accounts Report ?Party Statements ?Purchase-Sales Statement		
74	Accounts	Party Statements	Advances Against Order						Report ? Accounts ? Accounts Report ?Party Statements ?Advances Against Order		
75	Accounts	Party Statements	Pending Invoice Bills						Report ? Accounts ? Accounts Report ?Party Statements ?Pending Invoice Bills		
76	Accounts	Party Statements	Payment Receipt History						Report ? Accounts ? Accounts Report ?Party Statements ?Payment Receipt History		
77	Accounts	Party Statements	GL Bill by Bill Knocking	Bill by Bill					Report ? Accounts ? Accounts Report ?Party Statements ?GL Bill by Bill Knocking ? Bill by Bill		
78	Accounts	Party Statements	GL Bill by Bill Knocking	Bill by Bill Outstanding					Report ? Accounts ? Accounts Report ?Party Statements ?GL Bill by Bill Knocking ? Bill by Bill Outstanding		
79	Accounts	Party Statements	Yearly Outstanding & Ageing						Report ? Accounts ? Accounts Report ?Party Statements ?Yearly Outstanding & Ageing		
80	Accounts	Party Statements	Employeewise Outstanding & Ageing						Report ? Accounts ? Accounts Report ?Party Statements ?Employeewise Outstanding & Ageing		
81	Accounts	Fixed Assets	Schedule-E						Report ? Accounts ? Accounts Report ?Fixed Assets ?Schedule-E		
82	Accounts	Fixed Assets	Fixed Asset Register						Report ? Accounts ? Accounts Report ?Fixed Assets ?Fixed Asset Register		
83	Accounts	Fixed Assets	Asset Additions						Report ? Accounts ? Accounts Report ?Fixed Assets ?Asset Additions		
84	Accounts	Fixed Assets	Asset Sold						Report ? Accounts ? Accounts Report ?Fixed Assets ?Asset Sold		
85	Accounts	Fixed Assets	Write-Off Statement						Report ? Accounts ? Accounts Report ?Fixed Assets ?Write-Off Statement		
86	Accounts	Fixed Assets	Income-Tax Blockwise Depreciation						Report ? Accounts ? Accounts Report ?Fixed Assets ?Income-Tax Blockwise Depreciation		
87	Accounts	Fixed Assets	Capital Work In Progress Register						Report ? Accounts ? Accounts Report ?Fixed Assets ?Capital Work In Progress Register		
88	Accounts	Fixed Assets	Inventory Items Used for Machine						Report ? Accounts ? Accounts Report ?Fixed Assets ?Inventory Items Used for Machine		
89	Accounts	Fixed Assets	Import Duties of Capital Item						Report ? Accounts ? Accounts Report ?Fixed Assets ?Import Duties of Capital Item		
