Report List 											
											
Sl. NO	Dept.	Report types	Type of  Sub Report	Reports	Reports	Reports		Remarks	Report Path	ReMarks	
213	Inventory	Sales	Schedule Execution						Report ?Inventory?Sales?Schedule Execution		
214	Inventory	Sales	Sale Register With Tax Details						Report ?Inventory?Sales?Sale Register With Tax Details		
215	Inventory	Sales	Warranty Claim Report						Report ?Inventory?Sales?Warranty Claim Report		
216	Inventory	Sales	Sale Vis-a-vis Profitability Report						Report ?Inventory?Sales?Sale Vis-a-vis Profitability Report		
217	Inventory	Sales	SO Challan/ Invoice - Receipt						Report ?Inventory?Sales?SO Challan/ Invoice - Receipt		
218	Inventory	Sales	Sales Register(Item)						Report ?Inventory?Sales?Sales Register(Item)		
219	Inventory	Sales	W To W Remote Intransit						Report ?Inventory?Sales?W To W Remote Intransit		
220	Inventory	Sales	------ More ------	SALES(LOT) --> BOM(LL) --> RM (IMP + DOM)					Report ?Inventory?Sales?------ More ------?SALES(LOT) --> BOM(LL) --> RM (IMP + DOM)		
221	Inventory	Sales	------ More ------	Sale Order Stock Trasfer (WW)	Normal				Report ?Inventory?Sales?------ More ------?Sale Order Stock Trasfer (WW) ?  Normal		
222	Inventory	Sales	------ More ------	Sale Order Stock Trasfer (WW)	Amendment				Report ?Inventory?Sales?------ More ------?Sale Order Stock Trasfer (WW) ? Amendment		
223	Inventory	Sales	------ More ------	Sales order / FG Stock					Report ?Inventory?Sales?------ More ------?Sales order / FG Stock		
224	Inventory	Analysis MIS	Inventory Ageing Analysis	Quantity					Report ?Inventory?Analysis MIS?Inventory Ageing Analysis?Quantity		
225	Inventory	Analysis MIS	Inventory Ageing Analysis	Value					Report ?Inventory?Analysis MIS?Inventory Ageing Analysis?Value		
226	Inventory	Analysis MIS	Inventory Ageing Analysis	Lot wise Quantity 					Report ?Inventory?Analysis MIS?Inventory Ageing Analysis?Lot wise Quantity 		
227	Inventory	Analysis MIS	A-B-C Analysis						Report ?Inventory?Analysis MIS?A-B-C Analysis		
228	Inventory	Analysis MIS	X-Y-Z Analysis						Report ?Inventory?Analysis MIS?X-Y-Z Analysis		
229	Inventory	Analysis MIS	F-S-N Analysis						Report ?Inventory?Analysis MIS?F-S-N Analysis		
230	Inventory	Analysis MIS	Retest Inventory						Report ?Inventory?Analysis MIS?Retest Inventory		
231	Inventory	Analysis MIS	Stock Alert Report	Over Stock					Report ?Inventory?Analysis MIS?Stock Alert Report?Over Stock		
232	Inventory	Analysis MIS	Stock Alert Report	Under Stock					Report ?Inventory?Analysis MIS?Stock Alert Report?Under Stock		
233	Inventory	Analysis MIS	Item Re-Order Level						Report ?Inventory?Analysis MIS?Item Re-Order Level		
234	Inventory	Analysis MIS	Test-Quantity Report						Report ?Inventory?Analysis MIS?Test-Quantity Report		
235	Inventory	Analysis MIS	Production Statements						Report ?Inventory?Analysis MIS?Production Statements		
236	Inventory	Analysis MIS	Vendor Performance / Rating	Vendor Perfromance details					Report ?Inventory?Analysis MIS?Vendor Performance / Rating?Vendor Perfromance details		
237	Inventory	Analysis MIS	Vendor Performance / Rating	Vendor Rating					Report ?Inventory?Analysis MIS?Vendor Performance / Rating?Vendor Rating		
238	Inventory	Analysis MIS	Vendor Performance / Rating	Letter to supplier					Report ?Inventory?Analysis MIS?Vendor Performance / Rating?Letter to supplier		
239	Inventory	Transport Report	Destinationwise Daily Report						Report ?Inventory?Transport Report?Destinationwise Daily Report		
240	Inventory	Transport Report	Contribution Report						Report ?Inventory?Transport Report?Contribution Report		
241	Inventory	Transport Report	Monthwise Tonnage & Contribution Report						Report ?Inventory?Transport Report?Monthwise Tonnage & Contribution Report		
242	Inventory	Transport Report	Pending LR List Monthwise						Report ?Inventory?Transport Report?Pending LR List Monthwise		
243	Inventory	Transport Report	LR Register						Report ?Inventory?Transport Report?LR Register		
244	Inventory	Transport Report	LR Party/SO Alteration						Report ?Inventory?Transport Report?LR Party/SO Alteration		
245	Inventory	other Inv. Reports	L/R Report	L.R. Details					Report ?Inventory?other Inv. Reports?L/R Report ? L.R. Details		
246	Inventory	other Inv. Reports	Value Added For Non-Gin	Detail					Report ?Inventory?other Inv. Reports?Value Added For Non-Gin ? Details		
247	Inventory	other Inv. Reports	Value Added For Non-Gin	Summary					Report ?Inventory?other Inv. Reports?Value Added For Non-Gin ? Summary		
248	Inventory	other Inv. Reports	Vendor Item Rate History						Report ?Inventory?other Inv. Reports?Vendor Item Rate History		
249	Inventory	other Inv. Reports	Item* Period Valuation						Report ?Inventory?other Inv. Reports?Item* Period Valuation		
250	Inventory	other Inv. Reports	Variance Gin & Bills						Report ?Inventory?other Inv. Reports?Variance Gin & Bills		
251	Inventory	other Inv. Reports	Supplementary Bill Details						Report ?Inventory?other Inv. Reports?Supplementary Bill Details		
252	Inventory	other Inv. Reports	"RM Report, Import & Indig."						"Report ?Inventory?other Inv. Reports?RM Report, Import & Indig."		
253	Inventory	other Inv. Reports	Transportation Passed/Due Bills						Report ?Inventory?other Inv. Reports?Transportation Passed/Due Bills		
254	Inventory	other Inv. Reports	Gen. Rcpt-Issue Register						Report ?Inventory?other Inv. Reports?Gen. Rcpt-Issue Register		
255	Inventory	other Inv. Reports	Locationwise Transfer Report						Report ?Inventory?other Inv. Reports?Locationwise Transfer Report		
256	Inventory	other Inv. Reports	Ccpwise Consumption Statement						Report ?Inventory?other Inv. Reports?Ccpwise Consumption Statement		
257	Inventory	other Inv. Reports	OverAll Cost of Inventory Goods Produced						Report ?Inventory?other Inv. Reports?OverAll Cost of Inventory Goods Produced		
258	Inventory	other Inv. Reports	Invoice wise Transporter Details						Report ?Inventory?other Inv. Reports?Invoice wise Transporter Details		
259	Inventory	other Inv. Reports	Supplier Rejection Report						Report ?Inventory?other Inv. Reports?Supplier Rejection Report		
260	Inventory	other Inv. Reports	Production Shortage v/s Packing List						Report ?Inventory?other Inv. Reports?Production Shortage v/s Packing List		
261	Inventory	other Inv. Reports	Inventory Consumption Report						Report ?Inventory?other Inv. Reports?Inventory Consumption Report		
262	Inventory	other Inv. Reports	GRN wise Import Details						Report ?Inventory?other Inv. Reports?GRN wise Import Details		
263	Inventory	Costing	Landed Price						Report ?Inventory?Costing?Landed Price		
264	Inventory	Costing	Indirect Item Cost						Report ?Inventory?Costing?Indirect Item Cost		
265	Inventory	Service/Repair	In House Pending Repair  						Report ?Inventory?Service/Repair?In House Pending Repair  		
266	Inventory	Service/Repair	Mfg Repair Pending Details  						Report ?Inventory?Service/Repair?Mfg Repair Pending Details  		
267	Inventory	Service/Repair	Pending Complaint Report  						Report ?Inventory?Service/Repair?Pending Complaint Report  		
268	Inventory	Service/Repair	Sales Order BackLog Report  						Report ?Inventory?Service/Repair?Sales Order BackLog Report  		
269	Inventory	Service/Repair	Pump Ageing Report  						Report ?Inventory?Service/Repair?Pump Ageing Report  		
270	Production	Poduction Report	Work Order	Work order vs Produced					Report ?Production?Poduction Report?Work Order?Work order vs Produced		
271	Production	Poduction Report	Work Order	Work order Transaction History					Report ?Production?Poduction Report?Work Order?Work order Transaction History		
272	Production	Poduction Report	Sales Order	Sales order schedule					Report ?Production?Poduction Report?Sales Order?Sales order schedule		
273	Production	Poduction Report	Sales Order	Sales Order vs Sold					Report ?Production?Poduction Report?Sales Order?Sales Order vs Sold		
274	Production	Poduction Report	Bill of Material	B-O-M Tree Structure					Report ?Production?Poduction Report?Bill of Material?B-O-M Tree Structure		
275	Production	Poduction Report	Bill of Material	B-O-M Implosion					Report ?Production?Poduction Report?Bill of Material?B-O-M Implosion		
276	Production	Poduction Report	Bill of Material	B-O-M Wise Stock Statement					Report ?Production?Poduction Report?Bill of Material?B-O-M Wise Stock Statement		
277	Production	Poduction Report	Bill of Material	B-O-M Wise Item Shortage					Report ?Production?Poduction Report?Bill of Material?B-O-M Wise Item Shortage		
278	Production	Poduction Report	Bill of Material	Inventory In Terms Of Production Days					Report ?Production?Poduction Report?Bill of Material?Inventory In Terms Of Production Days		
279	Production	Poduction Report	Bill of Material	B-O-M V/S Actual					Report ?Production?Poduction Report?Bill of Material?B-O-M V/S Actual		
280	Production	Poduction Report	Bill of Material	B-O-M With Share Of Business					Report ?Production?Poduction Report?Bill of Material?B-O-M With Share Of Business		
281	Production	Poduction Report	Bill of Material	Production Variance Report					Report ?Production?Poduction Report?Bill of Material?Production Variance Report		
282	Production	Poduction Report	Bill of Material	S/o. X BoM wise Stock Allocation with Shortages					Report ?Production?Poduction Report?Bill of Material?S/o. X BoM wise Stock Allocation with Shortages		
283	Production	Poduction Report	Costing	Product Cost	As per Std. Rate				Report ?Production?Poduction Report?Costing?Product Cost?As per Std. Rate		
284	Production	Poduction Report	Costing	Product Cost	As per Purchase Price List				Report ?Production?Poduction Report?Costing?Product Cost?As per Purchase Price List		
285	Production	Poduction Report	Costing	Product Cost	Product Costing	Next Level 			Report ?Production?Poduction Report?Costing?Product Cost?Product Costing?Next Level 		
286	Production	Poduction Report	Costing	Product Cost	Product Costing	Lowest level			Report ?Production?Poduction Report?Costing?Product Cost?Product Costing?Lowest level		
287	Production	Poduction Report	Costing	Product Cost	Work Order Costing				Report ?Production?Poduction Report?Costing?Product Cost?Work Order Costing		
288	Production	Poduction Report	Costing	Non Productive Cost					Report ?Production?Poduction Report?Costing?Non Productive Cost		
289	Production	Poduction Report	Costing	Item Process Cost					Report ?Production?Poduction Report?Costing?Item Process Cost		
290	Production	Poduction Report	Costing	Assembly Based Cost					Report ?Production?Poduction Report?Costing?Assembly Based Cost		
291	Production	Poduction Report	MRP ||	Machine Log (Audit)					Report ?Production?Poduction Report?MRP ||?Machine Log (Audit)		
292	Production	Poduction Report	MRP ||	Operator Log (Audit)					Report ?Production?Poduction Report?MRP ||?Operator Log (Audit)		
293	Production	Poduction Report	MRP ||	Operator Machine Reconciliation					Report ?Production?Poduction Report?MRP ||?Operator Machine Reconciliation		
294	Production	Poduction Report	MRP ||	Operator Efficiency					Report ?Production?Poduction Report?MRP ||?Operator Efficiency		
295	Production	Poduction Report	MRP ||	Machine Utilisation					Report ?Production?Poduction Report?MRP ||?Machine Utilisation		
296	Production	Poduction Report	MRP ||	Machine Wise Item Production					Report ?Production?Poduction Report?MRP ||?Machine Wise Item Production		
297	Production	Poduction Report	Maintenance/Calibration	Calibration Schedule					Report ?Production?Poduction Report?Maintenance/Calibration?Calibration Schedule		
298	Production	Poduction Report	Maintenance/Calibration	Standard Room Activity					Report ?Production?Poduction Report?Maintenance/Calibration?Standard Room Activity		
299	Production	Poduction Report	Maintenance/Calibration	Machine Maintenance/Calibration					Report ?Production?Poduction Report?Maintenance/Calibration?Machine Maintenance/Calibration		
300	Production	Poduction Report	Maintenance/Calibration	Machine Spares Listing					Report ?Production?Poduction Report?Maintenance/Calibration?Machine Spares Listing		
301	Production	Poduction Report	Maintenance/Calibration	Spares Issued For Maintenance					Report ?Production?Poduction Report?Maintenance/Calibration?Spares Issued For Maintenance		
302	Production	Poduction Report	Maintenance/Calibration	Preventive Maintenance Shedule					Report ?Production?Poduction Report?Maintenance/Calibration?Preventive Maintenance Shedule		
303	Production	Poduction Report	Maintenance/Calibration	Maintenance Checkpoints					Report ?Production?Poduction Report?Maintenance/Calibration?Maintenance Checkpoints		
304	Production	Poduction Report	Maintenance/Calibration	Machine History Card					Report ?Production?Poduction Report?Maintenance/Calibration?Machine History Card		
305	Production	Poduction Report	Maintenance/Calibration	Breakdown Status Register					Report ?Production?Poduction Report?Maintenance/Calibration?Breakdown Status Register		
306	Production	Poduction Report	Maintenance/Calibration	Breakdown & Maintenance History Card					Report ?Production?Poduction Report?Maintenance/Calibration?Breakdown & Maintenance History Card		
307	Production	Poduction Report	Production MIS	Rejection/Rework codewise analysis					Report ?Production?Poduction Report?Production MIS?Rejection/Rework codewise analysis		
308	Production	Poduction Report	Production MIS	Non Product codewise analysis					Report ?Production?Poduction Report?Production MIS?Non Product codewise analysis		
309	Production	Poduction Report	Production MIS	Stores & Consumables Consumption					Report ?Production?Poduction Report?Production MIS?Stores & Consumables Consumption		
310	Production	Poduction Report	Production MIS	Tonnage Reconciliation					Report ?Production?Poduction Report?Production MIS?Tonnage Reconciliation		
311	Production	Poduction Report	Production MIS	Lot Tracking					Report ?Production?Poduction Report?Production MIS?Lot Tracking		
312	Production	Poduction Report	Production MIS	Production indent status					Report ?Production?Poduction Report?Production MIS?Production indent status		
313	Statutory	Statutory Reports	TDS	TDS Payable	Certificate (Form 16A)	Party			Report ?Statutory?TDS?TDS Payable?Certificate (Form 16A)?Party		
314	Statutory	Statutory Reports	TDS	TDS Payable	Certificate (Form 16A)	Bill			Report ?Statutory?TDS?TDS Payable?Certificate (Form 16A)? Bill		
315	Statutory	Statutory Reports	TDS	TDS Payable	Summary				Report ?Statutory?TDS?TDS Payable?Summary		
316	Statutory	Statutory Reports	TDS	TDS Payable	TDS Challan Printing				Report ?Statutory?TDS?TDS Payable?TDS Challan Printing		
317	Statutory	Statutory Reports	TCS	Certificate 206C					Report ?Statutory?TCS?Certificate 206C		
318	Statutory	Statutory Reports	TCS	Challan Date Updation					Report ?Statutory?TCS?Challan Date Updation		
319	Statutory	Statutory Reports	TCS	TCS Return Under(Form 27E)					Report ?Statutory?TCS?TCS Return Under(Form 27E)		
320	Statutory	Statutory Reports	TCS	TCS Challan Printing					Report ?Statutory?TCS?TCS Challan Printing		
321	Statutory	Statutory Reports	Work Contract Tax	Certificate					Report ?Statutory?Work Contract Tax?Certificate		
322	Statutory	Statutory Reports	Work Contract Tax	Monthly Statement					Report ?Statutory?Work Contract Tax?Monthly Statement		
323	Statutory	Statutory Reports	Work Contract Tax	Tax Register					Report ?Statutory?Work Contract Tax?Tax Register		
324	Statutory	Statutory Reports	Work Contract Tax	Challan Date					Report ?Statutory?Work Contract Tax?Challan Date		
325	Statutory	Statutory Reports	Import \ Export \ 100% EOU	B17 Bond Register					Report ?Statutory?Import \ Export \ 100% EOU?B17 Bond Register		
326	Statutory	Statutory Reports	Import \ Export \ 100% EOU	CT3 Daily Register					Report ?Statutory?Import \ Export \ 100% EOU?CT3 Daily Register		
327	Statutory	Statutory Reports	Import \ Export \ 100% EOU	ARE1					Report ?Statutory?Import \ Export \ 100% EOU?ARE1		
328	Statutory	Statutory Reports	Import \ Export \ 100% EOU	ARE1					Report ?Statutory?Import \ Export \ 100% EOU?ARE1		
329	Statutory	Statutory Reports	Import \ Export \ 100% EOU	DTA Register					Report ?Statutory?Import \ Export \ 100% EOU?DTA Register		
330	Statutory	Statutory Reports	Import \ Export \ 100% EOU	Form ARE -3					Report ?Statutory?Import \ Export \ 100% EOU?Form ARE -3		
331	Statutory	Statutory Reports	Import \ Export \ 100% EOU	100% EOU Reports	Receipts Under CT3				Report ?Statutory?Import \ Export \ 100% EOU?100% EOU Reports ?Receipts Under CT3		
332	Statutory	Statutory Reports	Import \ Export \ 100% EOU	100% EOU Reports	Job Work Register				Report ?Statutory?Import \ Export \ 100% EOU?100% EOU Reports ?Job Work Register		
333	Statutory	Statutory Reports	Import \ Export \ 100% EOU	100% EOU Reports	Capital Goods Import Ledger				Report ?Statutory?Import \ Export \ 100% EOU?100% EOU Reports ?Capital Goods Import Ledger		
334	Statutory	Statutory Reports	Import \ Export \ 100% EOU	100% EOU Reports	Raw Material Import Ledger				Report ?Statutory?Import \ Export \ 100% EOU?100% EOU Reports ?Raw Material Import Ledger		
335	Statutory	Statutory Reports	Import \ Export \ 100% EOU	Annexure - 63					Report ?Statutory?Import \ Export \ 100% EOU?Annexure - 63		
336	Statutory	Statutory Reports	Import \ Export \ 100% EOU	Annexure - III					Report ?Statutory?Import \ Export \ 100% EOU?Annexure - III		
337	Statutory	Statutory Reports	Import \ Export \ 100% EOU	Annexure - 21					Report ?Statutory?Import \ Export \ 100% EOU?Annexure - 21		
338	Statutory	Statutory Reports	Import \ Export \ 100% EOU	Import / FORM A					Report ?Statutory?Import \ Export \ 100% EOU?Import / FORM A		
339	Statutory	Statutory Reports	Import \ Export \ 100% EOU	IGCR Return Quaterly					Report ?Statutory?Import \ Export \ 100% EOU?IGCR Return Quaterly		
340	Statutory	Statutory Reports	Import \ Export \ 100% EOU	Bond Register Month Wise					Report ?Statutory?Import \ Export \ 100% EOU?Bond Register Month Wise		
341	Statutory	Statutory Reports	eReturn	TDS	    Regular				Report ?Statutory?eReturn?TDS ?    Regular		
342	Statutory	Statutory Reports	eReturn	TDS	    Revised				Report ?Statutory?eReturn?TDS ?    Revised		
343	Statutory	Statutory Reports	eReturn	TCS					Report ?Statutory?eReturn?TCS		
344	Statutory	Statutory Reports	eReturn	e-Sale/e-Purchase					Report ?Statutory?eReturn?e-Sale/e-Purchase		
345	Statutory	Statutory Reports	eReturn	e-CForm					Report ?Statutory?eReturn?e-CForm		
346	Statutory	Statutory Reports	eReturn	Monthly Purchase/Sale Annexure					Report ?Statutory?eReturn?Monthly Purchase/Sale Annexure		
347	Marketing	Marketing	Chart - of - Codes	Account	Code Wise  & Description Wise 				Report ?Marketing?Marketing?Chart - of - Codes?Account?Code Wise  & Description Wise 		
348	Marketing	Marketing	Chart - of - Codes	Sub-Account	Code Wise  & Description Wise 				Report ?Marketing?Marketing?Chart - of - Codes?Sub-Account?Code Wise  & Description Wise 		
349	Marketing	Marketing	Chart - of - Codes	Party	Code Wise  & Description Wise 				Report ?Marketing?Marketing?Chart - of - Codes?Party?Code Wise  & Description Wise 		
350	Marketing	Marketing	Chart - of - Codes	Item	Code-Wise				Report ?Marketing?Marketing?Chart - of - Codes?Item?Code-Wise		
351	Marketing	Marketing	Chart - of - Codes	Item	Description Wise				Report ?Marketing?Marketing?Chart - of - Codes?Item?Description Wise		
352	Marketing	Marketing	Chart - of - Codes	Item	Class-Wise				Report ?Marketing?Marketing?Chart - of - Codes?Item?Class-Wise		
353	Marketing	Marketing	Chart - of - Codes	Item	Fixtures				Report ?Marketing?Marketing?Chart - of - Codes?Item?Fixtures		
354	Marketing	Marketing	Chart - of - Codes	Item	Gauges				Report ?Marketing?Marketing?Chart - of - Codes?Item?Gauges		
355	Marketing	Marketing	Chart - of - Codes	Item	Tools				Report ?Marketing?Marketing?Chart - of - Codes?Item?Tools		
356	Marketing	Marketing	Chart - of - Codes	Item	Maint-Spare				Report ?Marketing?Marketing?Chart - of - Codes?Item?Maint-Spare		
357	Marketing	Marketing	Chart - of - Codes	Item	Fix-Spare				Report ?Marketing?Marketing?Chart - of - Codes?Item?Fix-Spare		
358	Marketing	Marketing	Chart - of - Codes	Gr-Cd * A/C					Report ?Marketing?Marketing?Chart - of - Codes?Gr-Cd * A/C		
359	Marketing	Marketing	Chart - of - Codes	Group * A/C					Report ?Marketing?Marketing?Chart - of - Codes?Group * A/C		
360	Marketing	Marketing	Mailing - Labels	Debtor					Report ?Marketing?Marketing?Mailing - Labels?Debtor		
361	Marketing	Marketing	Mailing - Labels	Creditor					Report ?Marketing?Marketing?Mailing - Labels?Creditor		
362	Marketing	Marketing	Mailing - Labels	Party					Report ?Marketing?Marketing?Mailing - Labels?Party		
363	Marketing	Marketing	Item - Sale	Cash					Report ?Marketing?Marketing?Item - Sale?Cash		
364	Marketing	Marketing	Item - Sale	Credit 					Report ?Marketing?Marketing?Item - Sale?Credit 		
365	Marketing	Marketing	Item - Sale - (Party)						Report ?Marketing?Marketing?Item - Sale - (Party)		
366	Marketing	Marketing	Executed Sales Enquiry						Report ?Marketing?Marketing?Executed Sales Enquiry		
367	Marketing	Marketing	Pending Sales Enquiry						Report ?Marketing?Marketing?Pending Sales Enquiry		
368	Marketing	Marketing	Sale - Order Qty. Status						Report ?Marketing?Marketing?Sale - Order Qty. Status		
369	Marketing	Marketing	Order Executed History	OrderItems-Wise					Report ?Marketing?Marketing?Order Executed History?OrderItems-Wise		
370	Marketing	Marketing	Order Executed History	PartyOrder*Item-Wise					Report ?Marketing?Marketing?Order Executed History?PartyOrder*Item-Wise		
371	Marketing	Marketing	Order Executed History	SO VS Dispatch Order					Report ?Marketing?Marketing?Order Executed History?SO VS Dispatch Order		
372	Marketing	Marketing	Backlog Of Sale Orders	Item * Party					Report ?Marketing?Marketing?Backlog Of Sale Orders?Item * Party		
373	Marketing	Marketing	Backlog Of Sale Orders	Party * Item					Report ?Marketing?Marketing?Backlog Of Sale Orders?Party * Item		
374	Marketing	Marketing	Backlog Of Sale Orders	Party * Order					Report ?Marketing?Marketing?Backlog Of Sale Orders?Party * Order		
375	Marketing	Marketing	Party - Cur - Yr - Pur/Sale						Report ?Marketing?Marketing?Party - Cur - Yr - Pur/Sale		
376	Marketing	Marketing	Sale/Collection	Debtor					Report ?Marketing?Marketing?Sale/Collection?Debtor		
377	Marketing	Marketing	Sale/Collection	Creditor					Report ?Marketing?Marketing?Sale/Collection?Creditor		
378	Marketing	Marketing	Sale/Collection	Party					Report ?Marketing?Marketing?Sale/Collection?Party		
379	Marketing	Marketing	Cumulative Sales						Report ?Marketing?Marketing?Cumulative Sales		
380	Marketing	Marketing	Sales Organisation Reports	Outstanding & Ageing Report					Report ?Marketing?Marketing?Sales Organisation Reports?Outstanding & Ageing Report		
381	Marketing	Marketing	Sales Organisation Reports	Sales Register					Report ?Marketing?Marketing?Sales Organisation Reports?Sales Register		
382	Marketing	Marketing	Sales Organisation Reports	MIS For Sales Organisation					Report ?Marketing?Marketing?Sales Organisation Reports?MIS For Sales Organisation		
383	Marketing	Marketing	Sales Organisation Reports	Sale Organisationwise Party Details					Report ?Marketing?Marketing?Sales Organisation Reports?Sale Organisationwise Party Details		
384	Marketing	Marketing	Sales Organisation Reports	Sale/Collection	Debtors				Report ?Marketing?Marketing?Sales Organisation Reports?Sale/Collection?Debtors		
385	Marketing	Marketing	Sales Organisation Reports	Sale/Collection	Party				Report ?Marketing?Marketing?Sales Organisation Reports?Sale/Collection?Party		
386	Marketing	Marketing	Sales Organisation Reports	SOS Missing Party					Report ?Marketing?Marketing?Sales Organisation Reports?SOS Missing Party		
387	Marketing	Marketing	Sales Organisation Reports	Party Ledger					Report ?Marketing?Marketing?Sales Organisation Reports?Party Ledger		
388	Marketing	Marketing	Sales Activity						Report ?Marketing?Marketing?Sales Activity		
389	Marketing	Marketing	Customer Delivery Performance						Report ?Marketing?Marketing?Customer Delivery Performance		
390	Marketing	Marketing	Sales Target Vs Actual						Report ?Marketing?Marketing?Sales Target Vs Actual		
391	Marketing	Marketing	BDM Sales Report						Report ?Marketing?Marketing?BDM Sales Report		
392	Marketing	Marketing	Sales Quotation Status						Report ?Marketing?Marketing?Sales Quotation Status		
393	Marketing	Marketing	Price Variance Report						Report ?Marketing?Marketing?Price Variance Report		
394	Audit 	Audit Report	Analytical	Bank Cash-Credit Status					Report ?Audit ?Audit Report?Analytical?Bank Cash-Credit Status		
395	Audit 	Audit Report	Analytical	Ratio Analysis					Report ?Audit ?Audit Report?Analytical?Ratio Analysis		
396	Audit 	Audit Report	Analytical	Analysis Parameters					Report ?Audit ?Audit Report?Analytical?Analysis Parameters		
397	Audit 	Audit Report	Analytical	GL * Class Reconciliation					Report ?Audit ?Audit Report?Analytical?GL * Class Reconciliation		
398	Audit 	Audit Report	Analytical	Purchase Billwise Deduction					Report ?Audit ?Audit Report?Analytical?Purchase Billwise Deduction		
399	Audit 	Audit Report	Analytical	Purchase Inventory Reconciliation					Report ?Audit ?Audit Report?Analytical?Purchase Inventory Reconciliation		
400	Audit 	Audit Report	Satutory	TDS Payable	Certificate (Form 16A)	Party			Report ?Audit ?Audit Report?Satutory?TDS Payable?Certificate (Form 16A)?Party		
401	Audit 	Audit Report	Satutory	TDS Payable	Certificate (Form 16A)	Bill			Report ?Audit ?Audit Report?Satutory?TDS Payable?Certificate (Form 16A)?Bill		
402	Audit 	Audit Report	Satutory	TDS Payable	Summary	Party * Date	Regualr		Report ?Audit ?Audit Report?Satutory?TDS Payable?Summary?Party * Date?Regualr		
403	Audit 	Audit Report	Satutory	TDS Payable	Summary	Party * Date	Revised		Report ?Audit ?Audit Report?Satutory?TDS Payable?Summary?Party * Date?Revised		
404	Audit 	Audit Report	Satutory	TDS Payable	Summary	Party Forms			Report ?Audit ?Audit Report?Satutory?TDS Payable?Summary?Party Forms		
405	Audit 	Audit Report	Satutory	TDS Payable	Summary	TDS%			Report ?Audit ?Audit Report?Satutory?TDS Payable?Summary?TDS%		
406	Audit 	Audit Report	Satutory	TDS Payable	Summary	Date			Report ?Audit ?Audit Report?Satutory?TDS Payable?Summary?Date		
407	Audit 	Audit Report	Satutory	TDS Payable	Summary				Report ?Audit ?Audit Report?Satutory?TDS Payable?Summary		
408	Audit 	Audit Report	Satutory	TDS Payable	Summary				Report ?Audit ?Audit Report?Satutory?TDS Payable?Summary		
409	Audit 	Audit Report	Satutory	TDS Payable	SC Purchase				Report ?Audit ?Audit Report?Satutory?TDS Payable?SC Purchase		
410	Audit 	Audit Report	Satutory	TDS Payable	Deductions				Report ?Audit ?Audit Report?Satutory?TDS Payable?Deductions		
411	Audit 	Audit Report	Satutory	TDS Payable	List Of Challans				Report ?Audit ?Audit Report?Satutory?TDS Payable?List Of Challans		
412	Audit 	Audit Report	Satutory	TDS Payable	TDS Check List				Report ?Audit ?Audit Report?Satutory?TDS Payable?TDS Check List		
413	Audit 	Audit Report	Satutory	TDS Recievable	TDS Certificate Status				Report ?Audit ?Audit Report?Satutory?TDS Recievable?TDS Certificate Status		
414	Audit 	Audit Report	Satutory	TDS Recievable	TDS Datewise Report				Report ?Audit ?Audit Report?Satutory?TDS Recievable?TDS Datewise Report		
415	Audit 	Audit Report	Satutory	TDS Recievable	TDS Receivable (JV Based)				Report ?Audit ?Audit Report?Satutory?TDS Recievable?TDS Receivable (JV Based)		
416	Audit 	Audit Report	Satutory	TDS Recievable	TDS Receivable (A/c Based)				Report ?Audit ?Audit Report?Satutory?TDS Recievable?TDS Receivable (A/c Based)		
417	Audit 	Audit Report	Satutory	Works Contract	Certificate				Report ?Audit ?Audit Report?Satutory?Works Contract?Certificate		
418	Audit 	Audit Report	Satutory	Works Contract	Monthly Statement				Report ?Audit ?Audit Report?Satutory?Works Contract?Monthly Statement		
419	Audit 	Audit Report	Satutory	Works Contract	Tax Register				Report ?Audit ?Audit Report?Satutory?Works Contract?Tax Register		
420	Audit 	Audit Report	Satutory	Works Contract	Challan-Date				Report ?Audit ?Audit Report?Satutory?Works Contract?Challan-Date		
421	Audit 	Audit Report	Satutory	Works Contract	Check List				Report ?Audit ?Audit Report?Satutory?Works Contract?Check List		
422	Audit 	Audit Report	Satutory	Tax collection at source	Certificate 206C				Report ?Audit ?Audit Report?Satutory?Tax collection at source?Certificate 206C		
423	Audit 	Audit Report	Satutory	Tax collection at source	TCS CheckList				Report ?Audit ?Audit Report?Satutory?Tax collection at source?TCS CheckList		
424	Audit 	Audit Report	Satutory	Tax collection at source	Certificate Issue Date Updation				Report ?Audit ?Audit Report?Satutory?Tax collection at source?Certificate Issue Date Updation		
425	Audit 	Audit Report	Satutory	Tax collection at source	Challan Date Updation				Report ?Audit ?Audit Report?Satutory?Tax collection at source?Challan Date Updation		
426	Audit 	Audit Report	Satutory	Tax collection at source	TCS Return Under (FORM 27E)				Report ?Audit ?Audit Report?Satutory?Tax collection at source?TCS Return Under (FORM 27E)		
427	Audit 	Audit Report	Satutory	Tax collection at source	TCS Challan Printing				Report ?Audit ?Audit Report?Satutory?Tax collection at source?TCS Challan Printing		
428	Audit 	Audit Report	Satutory	Reimbursement of CST					Report ?Audit ?Audit Report?Satutory?Reimbursement of CST		
429	Audit 	Audit Report	Satutory	Section 301 Register					Report ?Audit ?Audit Report?Satutory?Section 301 Register		
430	Audit 	Audit Report	Purchase	Pending Bills for Receipts					Report ?Audit ?Audit Report?Purchase?Pending Bills for Receipts		
431	Audit 	Audit Report	Purchase	Vendor Bill Passing Status					Report ?Audit ?Audit Report?Purchase?Vendor Bill Passing Status		
